sentence,stanceConsolidated,stance,publishDate,title,publisherGroup,publisher,category,keywordGroups,keywords,author,morph_analysis,sentence_count,word_count,flesch_score,dependency_tree_height,named_entities,named_entities_count,noun_phrases,noun_phrases_count,adjectives,adjectives_count,quotes_count,quoted_words,quoted_words_count,diminutives,diminutives_count,superlatives,superlatives_count,conditionals,conditionals_count,translatives,translatives_count,indirects,indirects_count,punctuations_count,stopwords,stopwords_count,unique_stopwords,unique_stopwords_count,bw_count,has_against_bigram,has_support_bigram,framing_against,framing_support,ekilex_sentiment,emolex_sentiment,eki_emotion,estbert_sentiment,xlmroberta_sentiment
"Ja selliseid inimesi on Eesti võimukoridorides ohtralt! Veel hullem on kogu see maailma päästmine, kus meile on Brüsseli käsul oma huvidest tähtsamad Süüria sõjapõgenikud, üle Vahemere tulevad neegritest majandusimmigrandid, Lääne-Euroopas välja mõeldud geiõigused ja sooneutraalsus, mujalt siia tulevad töölised ja nii edasi – ainult mitte omad inimesed.",1,against,29.05.2018 08:41,"Eesti riigivõim ei ehita oma riiki, vaid tegeleb Suure Hundi käsul maailma parandamisega",UuedUudised,UuedUudised,Arvamus,"['ränne', 'pagulased', 'rass']","['migra', 'põgenik', '([\\W ]|^)neeg']",,"Text(text='Ja selliseid inimesi on Eesti võimukoridorides ohtralt! Veel hullem on kogu see maailma päästmine, kus meile on Brüsseli käsul oma huvidest tähtsamad Süüria sõjapõgenikud, üle Vahemere tulevad neegritest majandusimmigrandid, Lääne-Euroopas välja mõeldud geiõigused ja sooneutraalsus, mujalt siia tulevad töölised ja nii edasi – ainult mitte omad inimesed.')",2,23.0,52.33795454545459,7.0,"['Eesti', 'Brüsseli', 'Süüria', 'Vahemere', 'Lääne-Euroopas']",2.5,"[['selliseid', 'inimesi'], ['Eesti', 'võimukoridorides'], ['maailma', 'päästmine'], ['Brüsseli', 'käsul'], ['oma', 'huvidest'], ['Süüria', 'sõjapõgenikud'], ['omad', 'inimesed']]",3.5,"['hullem', 'kogu', 'tähtsamad', 'omad']",2.0,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,3.5,"['ja', 'selliseid', 'on', 'veel', 'on', 'kogu', 'see', 'kus', 'meile', 'on', 'oma', 'üle', 'tulevad', 'välja', 'ja', 'mujalt', 'siia', 'tulevad', 'ja', 'nii', 'edasi', 'ainult', 'mitte', 'omad']",12.0,"['kus', 'meile', 'ja', 'mitte', 'üle', 'nii', 'on', 'selliseid', 'veel', 'mujalt', 'siia', 'kogu', 'edasi', 'omad', 'tulevad', 'see', 'ainult', 'oma', 'välja']",19,1.0,1,0,1,0,neu,pos,pos,neg,neg
Massiimmigratsioon oleks Euroopale hukatuslik ja see ei lahendaks maailmas mitte midagi.,2,against,13.10.2020 08:31,Aafriklaste massiränne Euroopasse tähendab Musta Mandri kolimist külmemasse kliimasse ja muud ei midagi,UuedUudised,UuedUudised,Maailm,['ränne'],['migra'],,Text(text='Massiimmigratsioon oleks Euroopale hukatuslik ja see ei lahendaks maailmas mitte midagi.'),1,11.0,73.1421739130435,4.0,['Euroopale'],1.0,[],0.0,['hukatuslik'],1.0,0.0,[],0.0,[],0.0,[],0.0,"['oleks', 'lahendaks']",2.0,[],0.0,[],0.0,1.0,"['oleks', 'ja', 'see', 'ei', 'mitte', 'midagi']",6.0,"['midagi', 'mitte', 'ei', 'oleks', 'ja', 'see']",6,0.0,0,0,0,0,pos,neg,neg,neg,neg
"Lõppjäreldus on, et Eesti rahvaarv kasvab võõraste sisserändest, mis on rahvusriigile ohtlik.“Iga-aastase paarituhandelise sisserände ülekaalu puhul hakkaks eestlaste suhtarv rahvastikus aegamööda vähenema.”",2,against,21.01.2019 10:22,"Eesti rahvaarv suureneb, kuid rahvusriigina pole põhjust hõisata",UuedUudised,UuedUudised,Eesti,['ränne'],['rände'],,"Text(text='Lõppjäreldus on, et Eesti rahvaarv kasvab võõraste sisserändest, mis on rahvusriigile ohtlik.“Iga-aastase paarituhandelise sisserände ülekaalu puhul hakkaks eestlaste suhtarv rahvastikus aegamööda vähenema.”')",2,11.5,64.93346153846157,5.0,['Eesti'],0.5,"[['Eesti', 'rahvaarv'], ['võõraste', 'sisserändest'], ['eestlaste', 'suhtarv']]",1.5,"['võõraste', 'ohtlik', 'iga-aastase', 'paarituhandelise']",2.0,1.0,[],0.0,[],0.0,[],0.0,['hakkaks'],0.5,[],0.0,[],0.0,3.0,"['on', 'et', 'mis', 'on', 'puhul', 'hakkaks']",3.0,"['mis', 'et', 'on', 'hakkaks', 'puhul']",5,0.0,0,0,1,0,neg,neu,neg,neg,neg
"Kui meeleavaldajad hakkavad liikuma, organiseerijate palvel kõhedusttekitavalt vaikides, ühineb pensionär nendega.ee juhtus demonstratsioonil, mille korraldas PEGIDA ehk Patriotische Europäer gegen die Islamisierung des Abendlandes (patriootlikud eurooplased õhtumaa islamiseerimise vastu)",3,neutral,06.01.2015 01:30,Dresdeni rahvahulgad peegeldavad Euroopa hirmu migrantide ees,EkspressGrupp,Eesti Päevaleht,,['rahvus'],['islam'],,"Text(text='Kui meeleavaldajad hakkavad liikuma, organiseerijate palvel kõhedusttekitavalt vaikides, ühineb pensionär nendega.ee juhtus demonstratsioonil, mille korraldas PEGIDA ehk Patriotische Europäer gegen die Islamisierung des Abendlandes (patriootlikud eurooplased õhtumaa islamiseerimise vastu)')",1,29.0,8.604285714285737,8.0,"['PEGIDA', 'Patriotische Europäer', 'Islamisierung', 'Abendlandes']",4.0,"[['organiseerijate', 'palvel'], ['patriootlikud', 'eurooplased'], ['õhtumaa', 'islamiseerimise']]",3.0,['patriootlikud'],1.0,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,5.0,"['kui', 'hakkavad', 'mille', 'ehk', 'vastu']",5.0,"['hakkavad', 'mille', 'vastu', 'ehk', 'kui']",5,0.0,0,0,0,0,neu,neu,pos,neg,neg
"See sõda tähendab, et peame ka Eestis oma julgeolekus arvesse võtma islami ekstremismi ohu hoopis uut olukorda silmas pidades.",3,neutral,14.11.2015 13:21,"Reinsalu: lähiajal karmistatakse terrorivastaseid seadusi, äärmuslastel ei tohi olla mingit kohta oma mürgi külvamisel",EkspressGrupp,Delfi,,['rahvus'],['islam'],,"Text(text='See sõda tähendab, et peame ka Eestis oma julgeolekus arvesse võtma islami ekstremismi ohu hoopis uut olukorda silmas pidades.')",1,19.0,71.06000000000002,8.0,['Eestis'],1.0,"[['See', 'sõda'], ['oma', 'julgeolekus'], ['islami', 'ekstremismi', 'ohu'], ['uut', 'olukorda']]",4.0,['uut'],1.0,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,2.0,"['see', 'et', 'peame', 'ka', 'oma', 'hoopis', 'pidades']",7.0,"['oma', 'hoopis', 'pidades', 'et', 'ka', 'peame', 'see']",7,0.0,0,0,0,0,neg,neg,neg,neu,neg
"”“Läbimõeldud, kogukonna juhitud ja täielikult ressurssidega kaetud tegevuskava, mis tegeleb mustanahaliste konkreetsete väljakutsetega, peab olema esmatähtis,” kirjutas Cullors ja lisas, et “me tahame oma häälte eest midagi.”BLM-i asutaja väitis koguni, et Biden ja Harris võitsid 2020. aasta presidendivalimised tänu mustanahalistele – seda hoolimata sellest, et valimistulemused pole veel kinnitatud, samuti hoolimata asjaolust, et president Donald Trump pälvis tegelikult suure osa mustanahaliste valijate toetuse, saades mustanahaliste häältest varasema 13 protsendi asemel 18 protsenti.„Ilma mustanahaliste suure toetuseta oleks valimistel hoopis teised tulemused.",3,neutral,12.11.2020 14:15,"“Black Lives Matter” võttis Bideni ja Harrise pantvangi, nõudes võimu jagamist toetuse eest valimistel",UuedUudised,UuedUudised,Maailm,['rass'],['mustanahali'],,"Text(text='”“Läbimõeldud, kogukonna juhitud ja täielikult ressurssidega kaetud tegevuskava, mis tegeleb mustanahaliste konkreetsete väljakutsetega, peab olema esmatähtis,” kirjutas Cullors ja lisas, et “me tahame oma häälte eest midagi.”BLM-i asutaja väitis koguni, et Biden ja Harris võitsid 2020. aasta presidendivalimised tänu mustanahalistele – seda hoolimata sellest, et valimistulemused pole veel kinnitatud, samuti hoolimata asjaolust, et president Donald Trump pälvis tegelikult suure osa mustanahaliste valijate toetuse, saades mustanahaliste häältest varasema 13 protsendi asemel 18 protsenti.„Ilma mustanahaliste suure toetuseta oleks valimistel hoopis teised tulemused.')",2,40.5,5.605124309392295,8.0,"['Cullors', 'BLM-i', 'Biden', 'Harris', 'Donald Trump']",2.5,"[['mustanahaliste', 'konkreetsete', 'väljakutsetega'], ['oma', 'häälte'], ['BLM-i', 'asutaja'], ['2020.', 'aasta', 'presidendivalimised'], ['suure', 'osa'], ['mustanahaliste', 'valijate', 'toetuse'], ['mustanahaliste', 'häältest'], ['13', 'protsendi'], ['18', 'protsenti'], ['suure', 'toetuseta'], ['teised', 'tulemused']]",5.5,"['juhitud', 'kaetud', 'mustanahaliste', 'konkreetsete', 'esmatähtis', 'mustanahalistele', 'kinnitatud', 'suure', 'mustanahaliste', 'mustanahaliste', 'varasema', 'mustanahaliste', 'suure']",6.5,2.5,[],0.0,[],0.0,[],0.0,['oleks'],0.5,[],0.0,[],0.0,9.5,"['ja', 'mis', 'peab', 'olema', 'ja', 'et', 'me', 'oma', 'eest', 'midagi', 'koguni', 'et', 'ja', 'tänu', 'seda', 'hoolimata', 'sellest', 'et', 'pole', 'veel', 'samuti', 'hoolimata', 'et', 'saades', 'asemel', 'ilma', 'oleks', 'hoopis', 'teised']",14.5,"['seda', 'asemel', 'teised', 'samuti', 'mis', 'et', 'koguni', 'pole', 'oleks', 'ja', 'sellest', 'hoolimata', 'olema', 'ilma', 'eest', 'veel', 'peab', 'hoopis', 'midagi', 'tänu', 'oma', 'me', 'saades']",23,0.5,0,0,0,0,pos,pos,neg,neg,neu
"Maaaelu edasine väljasuretamine ehk uus sundkollektiviseerimine haldusperestroika näol, millega aetakse segamini Eestimaa ajalooline maakaart ja seni kinnistunud kogukonnad, ja tekitatakse maapiirkondades lugematult asjatut sõkeldamist (sõgedat sekeldamist).Jätkuv kuuletumine Brüsselile isegi kõigis pisiasjades, rääkimata islami sõdalaste jätkuvast sissetoomisest, võhivõõraste väljast sissetoodud õnneõngitsejate eelistamine oma ausatele kodanikele, koolides pagulas-poliitilse ajupesu teostamine ja ideoloogiline totalitarism meedias.",2,against,20.02.2017 17:39,Malle Pärn: Veel üks pidu katku ajal,UuedUudised,UuedUudised,Arvamus,"['pagulased', 'rahvus']","['pagula', 'islam']",,"Text(text='Maaaelu edasine väljasuretamine ehk uus sundkollektiviseerimine haldusperestroika näol, millega aetakse segamini Eestimaa ajalooline maakaart ja seni kinnistunud kogukonnad, ja tekitatakse maapiirkondades lugematult asjatut sõkeldamist (sõgedat sekeldamist).Jätkuv kuuletumine Brüsselile isegi kõigis pisiasjades, rääkimata islami sõdalaste jätkuvast sissetoomisest, võhivõõraste väljast sissetoodud õnneõngitsejate eelistamine oma ausatele kodanikele, koolides pagulas-poliitilse ajupesu teostamine ja ideoloogiline totalitarism meedias.')",2,26.5,0.6064130434783124,8.0,"['Eestimaa', 'Brüsselile']",1.0,"[['edasine', 'väljasuretamine'], ['uus', 'sundkollektiviseerimine'], ['ajalooline', 'maakaart'], ['asjatut', 'sõkeldamist'], ['sõgedat', 'sekeldamist'], ['Jätkuv', 'kuuletumine'], ['kõigis', 'pisiasjades'], ['islami', 'sõdalaste'], ['jätkuvast', 'sissetoomisest'], ['sissetoodud', 'õnneõngitsejate', 'eelistamine'], ['ausatele', 'kodanikele'], ['pagulas-poliitilse', 'ajupesu', 'teostamine'], ['ideoloogiline', 'totalitarism']]",6.5,"['edasine', 'uus', 'ajalooline', 'asjatut', 'sõgedat', 'jätkuv', 'jätkuvast', 'sissetoodud', 'ausatele', 'pagulas-poliitilse', 'ideoloogiline']",5.5,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,4.5,"['ehk', 'millega', 'ja', 'seni', 'ja', 'isegi', 'kõigis', 'väljast', 'oma', 'ja']",5.0,"['millega', 'oma', 'isegi', 'ehk', 'väljast', 'kõigis', 'ja', 'seni']",8,0.5,0,0,0,0,neu,pos,pos,neg,neg
"Seotud lood:Siseministeeriumi ametnik: “Me töötamegi selle nimel, et sisseränne suureneks.”Naist põlema panna tahtnud Süüria pagulane jääb esialgu veel vahi allaUrmas Espenberg: meid valmistatakse ette immigrantide senisest suuremaks vastuvõtuksEestisse asus mullu elama üle 8000 välismaalaseFOTO: AFP/Scanpix – (illustratiivne) naisepeks šariaadikohtus",5,supportive,08.03.2017 19:30,Urmas Espenberg: kas tüüpilised lääne immigrandijamad on jõudnud lõpuks Eestisse?,UuedUudised,UuedUudised,Arvamus,"['ränne', 'pagulased', 'välistööjõud']","['migra', 'ränne', 'pagula', 'välismaala']",,"Text(text='Seotud lood:Siseministeeriumi ametnik: “Me töötamegi selle nimel, et sisseränne suureneks.”Naist põlema panna tahtnud Süüria pagulane jääb esialgu veel vahi allaUrmas Espenberg: meid valmistatakse ette immigrantide senisest suuremaks vastuvõtuksEestisse asus mullu elama üle 8000 välismaalaseFOTO: AFP/Scanpix – (illustratiivne) naisepeks šariaadikohtus')",2,20.5,50.23,8.5,"['Siseministeeriumi', 'Süüria', 'AFP/Scanpix']",1.5,"[['Seotud', 'lood'], ['Siseministeeriumi', 'ametnik'], ['Süüria', 'pagulane'], ['8000', 'välismaalaseFOTO'], ['naisepeks', 'šariaadikohtus']]",2.5,"['seotud', 'senisest', 'suuremaks', 'illustratiivne']",2.0,1.0,[],0.0,[],0.0,[],0.0,['suureneks'],0.5,['suuremaks'],0.5,[],0.0,6.0,"['me', 'selle', 'et', 'esialgu', 'veel', 'meid', 'ette', 'üle']",4.0,"['veel', 'meid', 'ette', 'esialgu', 'et', 'üle', 'selle', 'me']",8,0.0,1,0,1,0,neu,neg,pos,neg,neu
Euroopa Parlamendis küpseb kava kehtestada liikmesriikidele kohustuslikud kvoodid pagulaste vastuvõtmiseks.“Madisoni sõnul ei tohi lubada Eesti valitsusel Brüsseli jõupoliitikaga kaasa minna.”,3,neutral,20.10.2017 12:15,Jaak Madison: Eesti valitsus ei tohi Brüsseli rändepoliitikaga nõustuda,UuedUudised,UuedUudised,Eesti,['pagulased'],['pagula'],,Text(text='Euroopa Parlamendis küpseb kava kehtestada liikmesriikidele kohustuslikud kvoodid pagulaste vastuvõtmiseks.“Madisoni sõnul ei tohi lubada Eesti valitsusel Brüsseli jõupoliitikaga kaasa minna.”'),2,10.5,58.42913043478264,4.5,"['Euroopa Parlamendis', 'Madisoni', 'Eesti valitsusel Brüsseli']",1.5,"[['Euroopa', 'Parlamendis'], ['kohustuslikud', 'kvoodid'], ['pagulaste', 'vastuvõtmiseks'], ['Madisoni', 'sõnul'], ['Eesti', 'valitsusel'], ['Brüsseli', 'jõupoliitikaga']]",3.0,['kohustuslikud'],0.5,1.0,[],0.0,[],0.0,[],0.0,[],0.0,['vastuvõtmiseks'],0.5,[],0.0,2.0,"['ei', 'minna']",1.0,"['ei', 'minna']",2,0.0,1,0,0,0,pos,neg,pos,neg,neu
"“Sisseränne ida suunalt on muutunud massiliseks ja kontrollimatuks ning sellepärast tuleb see probleem võtta teravdatud tähelepanu alla.”Sisserände töörühm alustas tegevust 2017. aasta suvel, kui selle eesmärgiks seati valdkonna huvitatud osapooled kokku tuua ning valitsusele sisserände osas nõu anda.",3,neutral,14.06.2019 07:39,"Siseminister Mart Helme: sisserände töörühm kujunes tööandjate lobigrupiks, kelle ainsaks eesmärgiks oli piirangud maha võtta",UuedUudised,UuedUudised,Eesti,['ränne'],"['ränne', 'rände']",,"Text(text='“Sisseränne ida suunalt on muutunud massiliseks ja kontrollimatuks ning sellepärast tuleb see probleem võtta teravdatud tähelepanu alla.”Sisserände töörühm alustas tegevust 2017. aasta suvel, kui selle eesmärgiks seati valdkonna huvitatud osapooled kokku tuua ning valitsusele sisserände osas nõu anda.')",2,19.5,62.78478915662652,5.5,[],0.0,"[['ida', 'suunalt'], ['see', 'probleem'], ['Sisserände', 'töörühm'], ['2017.', 'aasta', 'suvel'], ['selle', 'eesmärgiks']]",2.5,"['massiliseks', 'kontrollimatuks']",1.0,1.0,[],0.0,[],0.0,[],0.0,[],0.0,"['massiliseks', 'kontrollimatuks', 'eesmärgiks']",1.5,[],0.0,2.5,"['on', 'ja', 'ning', 'sellepärast', 'tuleb', 'see', 'alla', 'kui', 'selle', 'kokku', 'ning']",5.5,"['tuleb', 'ning', 'kokku', 'see', 'alla', 'kui', 'selle', 'on', 'ja', 'sellepärast']",10,0.0,0,0,0,0,pos,neg,pos,neg,neu
